Designator,Mid X,Mid Y,Rotation,Layer
R1,82.32877,-156.557,180.0,top
R10,88.515,-188.0994,0.0,top
R11,95.145,-188.0994,0.0,top
R12,101.241,-188.0994,0.0,top
R13,107.591,-188.0994,0.0,top
R14,113.814,-188.0994,0.0,top
R15,120.291,-188.0994,0.0,top
R16,126.641,-188.0994,0.0,top
R2,88.67877,-156.837,180.0,top
R3,95.02877,-156.837,180.0,top
R4,101.12477,-156.557,180.0,top
R5,107.47477,-156.557,180.0,top
R6,113.69777,-156.557,180.0,top
R7,120.17477,-156.557,180.0,top
R8,126.52477,-156.557,180.0,top
R9,82.445,-188.0994,0.0,top
U1,82.32877,-161.3814,180.0,top
U10,88.795,-183.375,0.0,top
U11,95.145,-183.375,0.0,top
U12,101.241,-183.375,0.0,top
U13,107.591,-183.375,0.0,top
U14,113.814,-183.375,0.0,top
U15,120.291,-183.375,0.0,top
U16,126.641,-183.375,0.0,top
U2,88.67877,-161.3814,180.0,top
U3,95.02877,-161.3814,180.0,top
U4,101.12477,-161.3814,180.0,top
U5,107.47477,-161.3814,180.0,top
U6,113.69777,-161.3814,180.0,top
U7,120.17477,-161.3814,180.0,top
U8,126.52477,-161.3814,180.0,top
U9,82.445,-183.375,0.0,top
