Designator,Mid X,Mid Y,Rotation,Layer
C1,198.2975,-115.285,0.0,top
C2,198.2975,-117.795,0.0,top
C3,198.2975,-120.305,0.0,top
Q1,168.352718,-101.776016,0.0,top
Q10,172.927718,-106.226016,0.0,top
Q11,172.927718,-110.676016,0.0,top
Q12,173.033718,-88.717016,0.0,top
Q13,173.033718,-93.167016,0.0,top
Q14,173.033718,-97.617016,0.0,top
Q15,173.5,-115.6125,90.0,top
Q16,173.5,-120.1875,90.0,top
Q17,177.95,-115.6125,90.0,top
Q18,177.95,-120.1875,90.0,top
Q19,182.45,-115.6875,90.0,top
Q2,168.352718,-106.226016,0.0,top
Q20,182.45,-120.2625,90.0,top
Q21,186.9,-115.6875,90.0,top
Q22,186.9,-120.2625,90.0,top
Q23,188.466484,-107.008984,0.0,top
Q24,188.478984,-110.878984,0.0,top
Q25,188.812484,-90.258016,180.0,top
Q26,188.792484,-94.178016,180.0,top
Q27,188.867484,-98.228016,180.0,top
Q28,188.852484,-102.278016,180.0,top
Q29,191.35,-115.6875,90.0,top
Q3,168.352718,-110.676016,0.0,top
Q30,191.35,-120.2625,90.0,top
Q31,192.558984,-107.008984,0.0,top
Q32,192.606484,-110.893984,0.0,top
Q33,193.049984,-90.258016,180.0,top
Q34,193.079984,-94.178016,180.0,top
Q35,193.104984,-98.228016,180.0,top
Q36,193.089984,-102.278016,180.0,top
Q37,197.97,-103.575,0.0,bottom
Q38,197.97,-108.025,0.0,bottom
Q39,197.97,-112.475,0.0,bottom
Q4,168.458718,-88.717016,0.0,top
Q40,197.835,-89.365,0.0,bottom
Q41,197.835,-93.815,0.0,bottom
Q42,197.835,-98.265,0.0,bottom
Q43,193.395,-103.575,0.0,bottom
Q44,193.395,-108.025,0.0,bottom
Q45,193.395,-112.475,0.0,bottom
Q46,193.26,-89.365,0.0,bottom
Q47,193.26,-93.815,0.0,bottom
Q48,193.26,-98.265,0.0,bottom
Q49,186.481484,-88.787016,0.0,bottom
Q5,168.458718,-93.167016,0.0,top
Q50,186.481484,-93.237016,0.0,bottom
Q51,186.481484,-97.687016,0.0,bottom
Q52,185.891484,-104.277016,0.0,bottom
Q53,185.878984,-108.147016,0.0,bottom
Q54,181.906484,-88.787016,0.0,bottom
Q55,181.906484,-93.237016,0.0,bottom
Q56,181.906484,-97.687016,0.0,bottom
Q57,181.798984,-104.277016,0.0,bottom
Q58,181.751484,-108.162016,0.0,bottom
Q59,173.581484,-110.297016,0.0,bottom
Q6,168.458718,-97.617016,0.0,top
Q60,173.581484,-114.747016,0.0,bottom
Q61,173.581484,-119.197016,0.0,bottom
Q62,173.486484,-97.209516,0.0,bottom
Q63,173.486484,-101.659516,0.0,bottom
Q64,173.486484,-106.109516,0.0,bottom
Q65,173.363984,-88.737016,0.0,bottom
Q66,173.351484,-92.607016,0.0,bottom
Q67,169.271484,-88.737016,0.0,bottom
Q68,169.223984,-92.622016,0.0,bottom
Q69,169.006484,-110.297016,0.0,bottom
Q7,169.05,-115.6125,90.0,top
Q70,169.006484,-114.747016,0.0,bottom
Q71,169.006484,-119.197016,0.0,bottom
Q72,168.911484,-97.209516,0.0,bottom
Q73,168.911484,-101.659516,0.0,bottom
Q74,168.911484,-106.109516,0.0,bottom
Q8,169.05,-120.1875,90.0,top
Q9,172.927718,-101.776016,0.0,top
