Designator,Mid X,Mid Y,Rotation,Layer
C1,116.205,-77.2925,270.0,top
C2,90.17,-77.2925,270.0,top
C3,64.4225,-54.6625,90.0,top
C4,161.825,-116.2,180.0,top
C5,116.5225,-54.75,90.0,top
C6,90.4875,-54.75,90.0,top
C7,64.105,-77.205,270.0,top
C8,167.0,-116.85,0.0,top
Q1,116.22,-70.17,0.0,top
Q10,110.1725,-75.535,270.0,top
Q100,110.272766,-89.9375,270.0,top
Q101,113.765266,-85.795,270.0,top
Q102,106.780266,-89.9525,270.0,top
Q103,66.8825,-75.4625,270.0,top
Q104,82.035,-66.435,180.0,top
Q105,70.375,-75.4475,270.0,top
Q106,73.8675,-79.59,270.0,top
Q107,70.375,-79.605,270.0,top
Q108,82.065,-69.93,180.0,top
Q109,86.1625,-69.9275,180.0,top
Q11,113.665,-79.6775,270.0,top
Q110,73.8675,-75.4625,270.0,top
Q111,86.1625,-66.435,180.0,top
Q112,66.8825,-79.62,270.0,top
Q113,94.4475,-66.2775,180.0,top
Q114,94.4775,-69.7725,180.0,top
Q115,98.575,-69.77,180.0,top
Q116,98.575,-66.2775,180.0,top
Q117,68.3825,-66.19,180.0,top
Q118,68.4125,-69.685,180.0,top
Q119,72.51,-69.6825,180.0,top
Q12,110.1725,-79.6925,270.0,top
Q120,72.51,-66.19,180.0,top
Q121,91.65,-86.3825,180.0,top
Q122,91.68,-89.8775,180.0,top
Q123,95.7775,-89.875,180.0,top
Q124,95.7775,-86.3825,180.0,top
Q125,120.4525,-47.0675,180.0,top
Q126,120.4825,-50.5625,180.0,top
Q127,124.58,-50.56,180.0,top
Q128,124.58,-47.0675,180.0,top
Q129,108.07,-47.7025,180.0,top
Q13,113.665,-75.55,270.0,top
Q130,108.1,-51.1975,180.0,top
Q131,112.1975,-51.195,180.0,top
Q132,112.1975,-47.7025,180.0,top
Q133,94.4175,-47.0675,180.0,top
Q134,94.4475,-50.5625,180.0,top
Q135,98.545,-50.56,180.0,top
Q136,98.545,-47.0675,180.0,top
Q137,82.035,-47.7025,180.0,top
Q138,82.065,-51.1975,180.0,top
Q139,86.1625,-51.195,180.0,top
Q14,106.68,-79.7075,270.0,top
Q140,86.1625,-47.7025,180.0,top
Q141,68.3525,-46.98,180.0,top
Q142,68.3825,-50.475,180.0,top
Q143,72.48,-50.4725,180.0,top
Q144,72.48,-46.98,180.0,top
Q145,55.97,-47.615,180.0,top
Q146,56.0,-51.11,180.0,top
Q147,60.0975,-51.1075,180.0,top
Q148,60.0975,-47.615,180.0,top
Q149,98.65,-94.047766,180.0,top
Q15,118.9825,-56.335,270.0,top
Q150,98.68,-97.542766,180.0,top
Q151,102.7775,-97.540266,180.0,top
Q152,102.7775,-94.047766,180.0,top
Q153,87.775,-94.11,180.0,top
Q154,87.805,-97.605,180.0,top
Q155,91.9025,-97.6025,180.0,top
Q156,91.9025,-94.11,180.0,top
Q157,108.07,-66.435,180.0,top
Q158,108.1,-69.93,180.0,top
Q159,112.1975,-69.9275,180.0,top
Q16,122.475,-56.32,270.0,top
Q160,112.1975,-66.435,180.0,top
Q161,79.2375,-86.54,180.0,top
Q162,79.2675,-90.035,180.0,top
Q163,83.365,-90.0325,180.0,top
Q164,83.365,-86.54,180.0,top
Q165,55.97,-66.3475,180.0,top
