Designator,Mid X,Mid Y,Rotation,Layer
C1,407.308534,-406.142766,180.0,top
C16,281.62,-301.5936,180.0,top
C17,277.995,-301.5936,180.0,top
C18,379.595,-289.6686,180.0,top
C19,295.045,-289.7436,180.0,top
C2,372.1444,-304.9282,270.0,top
C20,209.77,-289.6936,180.0,top
C21,125.145,-289.7686,180.0,top
C22,40.07,-289.7936,180.0,top
C23,206.125,-350.4,180.0,top
C24,202.625,-350.35,180.0,top
C25,120.925,-349.875,180.0,top
C26,117.325,-349.75,180.0,top
C27,32.975,-351.61,180.0,top
C28,32.975,-349.1,180.0,top
C29,374.675,-350.1036,180.0,top
C3,370.214,-304.8774,270.0,top
C30,374.675,-347.5936,180.0,top
C31,287.95,-350.2,180.0,top
C32,291.175,-350.2,180.0,top
C4,372.1444,-308.6874,270.0,top
C5,370.214,-308.7382,270.0,top
C6,402.908534,-406.097766,180.0,top
D1,388.6,-405.9,270.0,top
D2,386.6,-400.05,0.0,top
D3,386.65,-411.8,180.0,top
D4,384.65,-405.9,90.0,top
J1,426.3644,-443.1392,90.0,top
Q1,367.3184,-304.8774,90.0,top
Q2,406.721034,-403.517766,0.0,top
Q3,367.1429,-308.789,0.0,top
Q4,402.858534,-403.030266,270.0,top
Q5,363.57,-311.3686,90.0,top
Q6,363.77,-304.8311,90.0,top
Q7,394.416034,-408.553266,0.0,top
Q8,399.071034,-403.692766,0.0,top
Q9,398.955234,-407.513066,180.0,top
R1,373.17,-299.5686,270.0,top
R10,400.583534,-401.217766,0.0,top
R14,281.566,-299.7216,180.0,top
R15,281.566,-297.7316,0.0,top
R16,277.995,-299.7436,180.0,top
R17,277.97,-297.7186,0.0,top
R2,406.358534,-408.567766,90.0,top
R3,373.77,-304.9282,90.0,top
R4,408.183534,-408.567766,90.0,top
R5,373.77,-308.6874,270.0,top
R6,401.933534,-408.592766,90.0,top
R7,372.67,-314.0686,90.0,top
R8,403.783534,-408.592766,90.0,top
R9,364.22,-301.0186,90.0,top
RV1,368.7408,-298.4766,0.0,top
RV2,368.3024,-315.0374,0.0,top
SW1,19.375,-302.925,180.0,top
SW2,19.3,-294.425,180.0,top
TR1,356.15,-421.4,0.0,top
TR2,289.3314,-421.4,180.0,top
U1,216.965,-414.7,180.0,top
U10,249.52,-292.1186,180.0,top
U11,259.475,-383.5882,90.0,top
U12,89.46,-383.74,90.0,top
U13,429.46,-383.09,90.0,top
U14,321.98,-412.3,90.0,top
U15,425.4,-427.6598,0.0,top
U16,425.4,-407.9,0.0,top
U2,134.02,-414.7,180.0,top
U3,51.375,-414.7,180.0,top
U4,79.52,-292.1186,180.0,top
U5,334.52,-292.1186,180.0,top
U6,164.52,-292.1186,180.0,top
U7,419.52,-292.1186,180.0,top
U8,174.451,-383.70576,90.0,top
U9,344.45,-383.4132,90.0,top
