"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","10n","","","","","~"
"C3,C4,C5,C6,C7","5","100u","","","","","~"
"C8","1","1u","","","","","~"
"C9,C13","2","1000u","","","","","~"
"C11,C12","2","100n","","","","","~"
"D1,D2,D3,D4","4","1N4007","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D5,D6","2","8.2V","","","","","~"
"J1","1","Screw_Terminal_01x02","","","","","~"
"K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K31,K32,K33,K34,K35,K36,K37,K38,K39,K40,K41,K42,K43,K44","42","Fujitsu_FTR-LYAA005x","","","","Relay_THT:Relay_SPST-NO_Fujitsu_FTR-LYAA005x_FormA_Vertical","https://www.fujitsu.com/sg/imagesgig5/ftr-ly.pdf"
"K17","1","Relay_SPDT","","","","","~"
"L1","1","L_Coupled_1243","","","","","~"
"Q1,Q2,Q3,Q6,Q7,Q8","6","MMBT3904","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pdf/datasheet/pzt3904-d.pdf"
